ECs	Organism	Uniprot IDs	PMID	Type	Km	Temperature	pH	Substrates	Products	substrate_IDs	product_IDs	Main Substrate
1.14.14.42	Arabidopsis thaliana	Q949U1	12609033	wildtype CYP79F1	3.4E-5	25.0	7.5	O2;Dihomomethionine	5-Methylthiopentanaldoxime;CO2;H2O	InChI=1S/O#InChI=1S/C7H15NO2S/c1-11-5-3-2-4-6(8)7(9)10/h6H,2-5,8H2,1H3,(H,9,10)	InChI=1S/C6H13NOS/c1-9-6-4-2-3-5-7-8/h5,8H,2-4,6H2,1H3#InChI=1S/CO2/c2-1-3#InChI=1S/H2O/h1H2	InChI=1S/C7H15NO2S/c1-11-5-3-2-4-6(8)7(9)10/h6H,2-5,8H2,1H3,(H,9,10)
1.14.14.42	Arabidopsis thaliana	Q949U1	12609033	wildtype CYP79F1	3.7E-5	25.0	7.5	Trihomomethionine;O2	6-Methylthiohexanaldoxime;CO2;H2O	InChI=1S/C8H17NO2S/c1-12-6-4-2-3-5-7(9)8(10)11/h7H,2-6,9H2,1H3,(H,10,11)#InChI=1S/O	InChI=1S/C7H15NOS/c1-10-7-5-3-2-4-6-8-9/h6,9H,2-5,7H2,1H3#InChI=1S/CO2/c2-1-3#InChI=1S/H2O/h1H2	InChI=1S/C8H17NO2S/c1-12-6-4-2-3-5-7(9)8(10)11/h7H,2-6,9H2,1H3,(H,10,11)
1.14.14.42	Arabidopsis thaliana	Q949U1	12609033	wildtype CYP79F1	1.94E-4	25.0	7.5	Tetrahomomethionine;O2	7-Methylthioheptanaldoxime;CO2;H2O	InChI=1S/C9H19NO2S/c1-13-7-5-3-2-4-6-8(10)9(11)12/h8H,2-7,10H2,1H3,(H,11,12)#InChI=1S/O	InChI=1S/C8H17NOS/c1-11-8-6-4-2-3-5-7-9-10/h7,10H,2-6,8H2,1H3#InChI=1S/CO2/c2-1-3#InChI=1S/H2O/h1H2	InChI=1S/C9H19NO2S/c1-13-7-5-3-2-4-6-8(10)9(11)12/h8H,2-7,10H2,1H3,(H,11,12)
1.14.14.42	Arabidopsis thaliana	Q949U1	12609033	wildtype CYP79F1	2.16E-4	25.0	7.5	O2;Pentahomomethionine	8-Methylthiooctanaldoxime;CO2;H2O	InChI=1S/O#InChI=1S/C10H21NO2S/c1-14-8-6-4-2-3-5-7-9(11)10(12)13/h9H,2-8,11H2,1H3,(H,12,13)	InChI=1S/C9H19NOS/c1-12-9-7-5-3-2-4-6-8-10-11/h8,11H,2-7,9H2,1H3#InChI=1S/CO2/c2-1-3#InChI=1S/H2O/h1H2	InChI=1S/C10H21NO2S/c1-14-8-6-4-2-3-5-7-9(11)10(12)13/h9H,2-8,11H2,1H3,(H,12,13)
1.14.14.42	Arabidopsis thaliana	Q949U1	12609033	wildtype CYP79F1	7.4E-5	25.0	7.5	Hexahomomethionine;O2	9-Methylthiononanaldoxime;CO2;H2O	InChI=1S/C11H23NO2S/c1-15-9-7-5-3-2-4-6-8-10(12)11(13)14/h10H,2-9,12H2,1H3,(H,13,14)#InChI=1S/O	InChI=1S/C10H21NOS/c1-13-10-8-6-4-2-3-5-7-9-11-12/h9,12H,2-8,10H2,1H3#InChI=1S/CO2/c2-1-3#InChI=1S/H2O/h1H2	InChI=1S/C11H23NO2S/c1-15-9-7-5-3-2-4-6-8-10(12)11(13)14/h10H,2-9,12H2,1H3,(H,13,14)
1.14.14.42	Arabidopsis thaliana	Q9FUY7	12609033	wildtype CYP79F2	2.6E-5	25.0	7.5	O2;Hexahomomethionine	9-Methylthiononanaldoxime;H2O;CO2	InChI=1S/O#InChI=1S/C11H23NO2S/c1-15-9-7-5-3-2-4-6-8-10(12)11(13)14/h10H,2-9,12H2,1H3,(H,13,14)	InChI=1S/C10H21NOS/c1-13-10-8-6-4-2-3-5-7-9-11-12/h9,12H,2-8,10H2,1H3#InChI=1S/H2O/h1H2#InChI=1S/CO2/c2-1-3	InChI=1S/C11H23NO2S/c1-15-9-7-5-3-2-4-6-8-10(12)11(13)14/h10H,2-9,12H2,1H3,(H,13,14)
1.14.14.42	Arabidopsis thaliana	Q9FUY7	12609033	wildtype CYP79F2	3.74E-4	25.0	7.5	Pentahomomethionine;O2	CO2;H2O;8-Methylthiooctanaldoxime	InChI=1S/C10H21NO2S/c1-14-8-6-4-2-3-5-7-9(11)10(12)13/h9H,2-8,11H2,1H3,(H,12,13)#InChI=1S/O	InChI=1S/CO2/c2-1-3#InChI=1S/H2O/h1H2#InChI=1S/C9H19NOS/c1-12-9-7-5-3-2-4-6-8-10-11/h8,11H,2-7,9H2,1H3	InChI=1S/C10H21NO2S/c1-14-8-6-4-2-3-5-7-9(11)10(12)13/h9H,2-8,11H2,1H3,(H,12,13)
1.14.14.43	Arabidopsis thaliana	P48421	11553739	wildtype	1.5E-4	28.0	7.6	L-Cysteine;3-Indoleacetaldoxime;NADPH;O2;H+	H2O;NADP+;S-(Indolylmethylthiohydroximoyl)-L-cysteine	InChI=1S/C3H7NO2S/c4-2(1-7)3(5)6/h2,7H,1,4H2,(H,5,6)/t2-/m0/s1#InChI=1S/C10H10N2O/c13-12-6-5-8-7-11-10-4-2-1-3-9(8)10/h1-4,6-7,11,13H,5H2/b12-6+#InChI=1S/C21H30N7O17P3/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(44-46(33,34)35)14(30)11(43-21)6-41-48(38,39)45-47(36,37)40-5-10-13(29)15(31)20(42-10)27-3-1-2-9(4-27)18(23)32/h1,3-4,7-8,10-11,13-16,20-21,29-31H,2,5-6H2,(H2,23,32)(H,36,37)(H,38,39)(H2,22,24,25)(H2,33,34,35)/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1#InChI=1S/O#InChI=1S/p+1	InChI=1S/H2O/h1H2#InChI=1S/C21H28N7O17P3/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(44-46(33,34)35)14(30)11(43-21)6-41-48(38,39)45-47(36,37)40-5-10-13(29)15(31)20(42-10)27-3-1-2-9(4-27)18(23)32/h1-4,7-8,10-11,13-16,20-21,29-31H,5-6H2,(H7-,22,23,24,25,32,33,34,35,36,37,38,39)/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1#InChI=1S/C13H15N3O3S/c14-10(13(17)18)7-20-12(16-19)5-8-6-15-11-4-2-1-3-9(8)11/h1-4,6,10,15,19H,5,7,14H2,(H,17,18)/b16-12-/t10-/m0/s1	InChI=1S/C10H10N2O/c13-12-6-5-8-7-11-10-4-2-1-3-9(8)10/h1-4,6-7,11,13H,5H2/b12-6+
1.14.14.45	Arabidopsis thaliana	O65782	11158532	wildtype	3.0E-6	28.0	7.6	NADPH;3-Indoleacetaldoxime;H+;L-Cysteine;O2	NADP+;S-(Indolylmethylthiohydroximoyl)-L-cysteine;H2O	InChI=1S/C21H30N7O17P3/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(44-46(33,34)35)14(30)11(43-21)6-41-48(38,39)45-47(36,37)40-5-10-13(29)15(31)20(42-10)27-3-1-2-9(4-27)18(23)32/h1,3-4,7-8,10-11,13-16,20-21,29-31H,2,5-6H2,(H2,23,32)(H,36,37)(H,38,39)(H2,22,24,25)(H2,33,34,35)/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1#InChI=1S/C10H10N2O/c13-12-6-5-8-7-11-10-4-2-1-3-9(8)10/h1-4,6-7,11,13H,5H2/b12-6+#InChI=1S/p+1#InChI=1S/C3H7NO2S/c4-2(1-7)3(5)6/h2,7H,1,4H2,(H,5,6)/t2-/m0/s1#InChI=1S/O	InChI=1S/C21H28N7O17P3/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(44-46(33,34)35)14(30)11(43-21)6-41-48(38,39)45-47(36,37)40-5-10-13(29)15(31)20(42-10)27-3-1-2-9(4-27)18(23)32/h1-4,7-8,10-11,13-16,20-21,29-31H,5-6H2,(H7-,22,23,24,25,32,33,34,35,36,37,38,39)/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1#InChI=1S/C13H15N3O3S/c14-10(13(17)18)7-20-12(16-19)5-8-6-15-11-4-2-1-3-9(8)11/h1-4,6,10,15,19H,5,7,14H2,(H,17,18)/b16-12-/t10-/m0/s1#InChI=1S/H2O/h1H2	InChI=1S/C10H10N2O/c13-12-6-5-8-7-11-10-4-2-1-3-9(8)10/h1-4,6-7,11,13H,5H2/b12-6+
1.14.14.70	Oryza sativa	Q0DBF4	22247270	wildtype codon optimized and N-terminally modified	2.0E-6	-	7.2	O2;ent-Cassa-12,15-diene	3alpha-Hydroxy-ent-cassa-12,15-diene;H2O	InChI=1S/O#InChI=1S/C20H32/c1-6-15-8-10-17-16(14(15)2)9-11-18-19(3,4)12-7-13-20(17,18)5/h6,8,14,16-18H,1,7,9-13H2,2-5H3/t14-,16-,17-,18-,20+/m1/s1	InChI=1S/C20H32O/c1-6-14-7-9-16-15(13(14)2)8-10-17-19(3,4)18(21)11-12-20(16,17)5/h6-7,13,15-18,21H,1,8-12H2,2-5H3/t13-,15-,16-,17-,18-,20+/m1/s1#InChI=1S/H2O/h1H2	InChI=1S/C20H32/c1-6-15-8-10-17-16(14(15)2)9-11-18-19(3,4)12-7-13-20(17,18)5/h6,8,14,16-18H,1,7,9-13H2,2-5H3/t14-,16-,17-,18-,20+/m1/s1
1.14.14.70	Oryza sativa	Q0DBF4	22247270	wildtype codon optimized and N-terminally modified	2.3E-6	-	7.2	ent-Sandaracopimaradiene;O2	H2O;ent-Sandaracopimaradien-3beta-ol	InChI=1S/C20H32/c1-6-19(4)13-10-16-15(14-19)8-9-17-18(2,3)11-7-12-20(16,17)5/h6,14,16-17H,1,7-13H2,2-5H3/t16-,17-,19-,20+/m1/s1#InChI=1S/O	InChI=1S/H2O/h1H2#InChI=1S/C20H32O/c1-6-19(4)11-9-15-14(13-19)7-8-16-18(2,3)17(21)10-12-20(15,16)5/h6,13,15-17,21H,1,7-12H2,2-5H3/t15-,16-,17-,19-,20+/m1/s1	InChI=1S/C20H32/c1-6-19(4)13-10-16-15(14-19)8-9-17-18(2,3)11-7-12-20(16,17)5/h6,14,16-17H,1,7-13H2,2-5H3/t16-,17-,19-,20+/m1/s1
1.14.14.86	Arabidopsis thaliana	Q93ZB2	20698828	wildtype	1.8E-6	-	8.0	ent-Kaurene;NADPH;H+;O2	H2O;Kaur-16-en-18-ol;NADP+	InChI=1S/C20H32/c1-14-12-20-11-8-16-18(2,3)9-5-10-19(16,4)17(20)7-6-15(14)13-20/h15-17H,1,5-13H2,2-4H3/t15-,16-,17+,19-,20-/m1/s1#InChI=1S/C21H30N7O17P3/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(44-46(33,34)35)14(30)11(43-21)6-41-48(38,39)45-47(36,37)40-5-10-13(29)15(31)20(42-10)27-3-1-2-9(4-27)18(23)32/h1,3-4,7-8,10-11,13-16,20-21,29-31H,2,5-6H2,(H2,23,32)(H,36,37)(H,38,39)(H2,22,24,25)(H2,33,34,35)/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1#InChI=1S/p+1#InChI=1S/O	InChI=1S/H2O/h1H2#InChI=1S/C20H32O/c1-14-11-20-10-7-16-18(2,13-21)8-4-9-19(16,3)17(20)6-5-15(14)12-20/h15-17,21H,1,4-13H2,2-3H3/t15?,16-,17+,18+,19-,20-/m1/s1#InChI=1S/C21H28N7O17P3/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(44-46(33,34)35)14(30)11(43-21)6-41-48(38,39)45-47(36,37)40-5-10-13(29)15(31)20(42-10)27-3-1-2-9(4-27)18(23)32/h1-4,7-8,10-11,13-16,20-21,29-31H,5-6H2,(H7-,22,23,24,25,32,33,34,35,36,37,38,39)/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1	InChI=1S/C20H32/c1-14-12-20-11-8-16-18(2,3)9-5-10-19(16,4)17(20)7-6-15(14)13-20/h15-17H,1,5-13H2,2-4H3/t15-,16-,17+,19-,20-/m1/s1
1.14.14.86	Arabidopsis thaliana	Q93ZB2	20698828	wildtype	6.0E-6	-	8.0	NADPH;O2;H+;Kaur-16-en-18-ol	Kaur-16-en-18-al;H2O;NADP+	InChI=1S/C21H30N7O17P3/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(44-46(33,34)35)14(30)11(43-21)6-41-48(38,39)45-47(36,37)40-5-10-13(29)15(31)20(42-10)27-3-1-2-9(4-27)18(23)32/h1,3-4,7-8,10-11,13-16,20-21,29-31H,2,5-6H2,(H2,23,32)(H,36,37)(H,38,39)(H2,22,24,25)(H2,33,34,35)/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1#InChI=1S/O#InChI=1S/p+1#InChI=1S/C20H32O/c1-14-11-20-10-7-16-18(2,13-21)8-4-9-19(16,3)17(20)6-5-15(14)12-20/h15-17,21H,1,4-13H2,2-3H3/t15?,16-,17+,18+,19-,20-/m1/s1	InChI=1S/C20H30O/c1-14-11-20-10-7-16-18(2,13-21)8-4-9-19(16,3)17(20)6-5-15(14)12-20/h13,15-17H,1,4-12H2,2-3H3/t15?,16-,17+,18+,19-,20-/m1/s1#InChI=1S/H2O/h1H2#InChI=1S/C21H28N7O17P3/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(44-46(33,34)35)14(30)11(43-21)6-41-48(38,39)45-47(36,37)40-5-10-13(29)15(31)20(42-10)27-3-1-2-9(4-27)18(23)32/h1-4,7-8,10-11,13-16,20-21,29-31H,5-6H2,(H7-,22,23,24,25,32,33,34,35,36,37,38,39)/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1	InChI=1S/C20H32O/c1-14-11-20-10-7-16-18(2,13-21)8-4-9-19(16,3)17(20)6-5-15(14)12-20/h15-17,21H,1,4-13H2,2-3H3/t15?,16-,17+,18+,19-,20-/m1/s1
1.14.14.86	Arabidopsis thaliana	Q93ZB2	20698828	wildtype	1.9E-6	-	8.0	NADPH;H+;O2;Kaur-16-en-18-al	Kaur-16-en-18-oic acid;H2O;NADP+	InChI=1S/C21H30N7O17P3/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(44-46(33,34)35)14(30)11(43-21)6-41-48(38,39)45-47(36,37)40-5-10-13(29)15(31)20(42-10)27-3-1-2-9(4-27)18(23)32/h1,3-4,7-8,10-11,13-16,20-21,29-31H,2,5-6H2,(H2,23,32)(H,36,37)(H,38,39)(H2,22,24,25)(H2,33,34,35)/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1#InChI=1S/p+1#InChI=1S/O#InChI=1S/C20H30O/c1-14-11-20-10-7-16-18(2,13-21)8-4-9-19(16,3)17(20)6-5-15(14)12-20/h13,15-17H,1,4-12H2,2-3H3/t15?,16-,17+,18+,19-,20-/m1/s1	InChI=1S/C20H30O2/c1-13-11-20-10-7-15-18(2,16(20)6-5-14(13)12-20)8-4-9-19(15,3)17(21)22/h14-16H,1,4-12H2,2-3H3,(H,21,22)/t14-,15+,16+,18-,19-,20-/m1/s1#InChI=1S/H2O/h1H2#InChI=1S/C21H28N7O17P3/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(44-46(33,34)35)14(30)11(43-21)6-41-48(38,39)45-47(36,37)40-5-10-13(29)15(31)20(42-10)27-3-1-2-9(4-27)18(23)32/h1-4,7-8,10-11,13-16,20-21,29-31H,5-6H2,(H7-,22,23,24,25,32,33,34,35,36,37,38,39)/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1	InChI=1S/C20H30O/c1-14-11-20-10-7-16-18(2,13-21)8-4-9-19(16,3)17(20)6-5-15(14)12-20/h13,15-17H,1,4-12H2,2-3H3/t15?,16-,17+,18+,19-,20-/m1/s1
1.14.14.88	Medicago truncatula	Q6WNQ9	14617078	wildtype CYP81E9	1.126E-4	25.0	8.0	H+;Biochanin A;NADPH;O2	H2O;NADP+;3'-Hydroxybiochanin A	InChI=1S/p+1#InChI=1S/C16H12O5/c1-20-11-4-2-9(3-5-11)12-8-21-14-7-10(17)6-13(18)15(14)16(12)19/h2-8,17-18H,1H3#InChI=1S/C21H30N7O17P3/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(44-46(33,34)35)14(30)11(43-21)6-41-48(38,39)45-47(36,37)40-5-10-13(29)15(31)20(42-10)27-3-1-2-9(4-27)18(23)32/h1,3-4,7-8,10-11,13-16,20-21,29-31H,2,5-6H2,(H2,23,32)(H,36,37)(H,38,39)(H2,22,24,25)(H2,33,34,35)/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1#InChI=1S/O	InChI=1S/H2O/h1H2#InChI=1S/C21H28N7O17P3/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(44-46(33,34)35)14(30)11(43-21)6-41-48(38,39)45-47(36,37)40-5-10-13(29)15(31)20(42-10)27-3-1-2-9(4-27)18(23)32/h1-4,7-8,10-11,13-16,20-21,29-31H,5-6H2,(H7-,22,23,24,25,32,33,34,35,36,37,38,39)/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1#InChI=1S/C16H12O6/c1-21-13-3-2-8(4-11(13)18)10-7-22-14-6-9(17)5-12(19)15(14)16(10)20/h2-7,17-19H,1H3	InChI=1S/C16H12O5/c1-20-11-4-2-9(3-5-11)12-8-21-14-7-10(17)6-13(18)15(14)16(12)19/h2-8,17-18H,1H3
1.14.14.88	Medicago truncatula	Q6WNQ9	14617078	wildtype CYP81E9	4.97E-5	25.0	8.0	O2;Formononetin;H+;NADPH	Calycosin;H2O;NADP+	InChI=1S/O#InChI=1S/C16H12O4/c1-19-12-5-2-10(3-6-12)14-9-20-15-8-11(17)4-7-13(15)16(14)18/h2-9,17H,1H3#InChI=1S/p+1#InChI=1S/C21H30N7O17P3/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(44-46(33,34)35)14(30)11(43-21)6-41-48(38,39)45-47(36,37)40-5-10-13(29)15(31)20(42-10)27-3-1-2-9(4-27)18(23)32/h1,3-4,7-8,10-11,13-16,20-21,29-31H,2,5-6H2,(H2,23,32)(H,36,37)(H,38,39)(H2,22,24,25)(H2,33,34,35)/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1	InChI=1S/C16H12O5/c1-20-14-5-2-9(6-13(14)18)12-8-21-15-7-10(17)3-4-11(15)16(12)19/h2-8,17-18H,1H3#InChI=1S/H2O/h1H2#InChI=1S/C21H28N7O17P3/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(44-46(33,34)35)14(30)11(43-21)6-41-48(38,39)45-47(36,37)40-5-10-13(29)15(31)20(42-10)27-3-1-2-9(4-27)18(23)32/h1-4,7-8,10-11,13-16,20-21,29-31H,5-6H2,(H7-,22,23,24,25,32,33,34,35,36,37,38,39)/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1	InChI=1S/C16H12O4/c1-19-12-5-2-10(3-6-12)14-9-20-15-8-11(17)4-7-13(15)16(14)18/h2-9,17H,1H3
1.14.14.90	Medicago truncatula	Q6WNR0	14617078	wildtype CYP81E7	6.7E-5	25.0	8.0	O2;NADPH;H+;Formononetin	NADP+;H2O;2'-Hydroxyformononetin	InChI=1S/O#InChI=1S/C21H30N7O17P3/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(44-46(33,34)35)14(30)11(43-21)6-41-48(38,39)45-47(36,37)40-5-10-13(29)15(31)20(42-10)27-3-1-2-9(4-27)18(23)32/h1,3-4,7-8,10-11,13-16,20-21,29-31H,2,5-6H2,(H2,23,32)(H,36,37)(H,38,39)(H2,22,24,25)(H2,33,34,35)/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1#InChI=1S/p+1#InChI=1S/C16H12O4/c1-19-12-5-2-10(3-6-12)14-9-20-15-8-11(17)4-7-13(15)16(14)18/h2-9,17H,1H3	InChI=1S/C21H28N7O17P3/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(44-46(33,34)35)14(30)11(43-21)6-41-48(38,39)45-47(36,37)40-5-10-13(29)15(31)20(42-10)27-3-1-2-9(4-27)18(23)32/h1-4,7-8,10-11,13-16,20-21,29-31H,5-6H2,(H7-,22,23,24,25,32,33,34,35,36,37,38,39)/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1#InChI=1S/H2O/h1H2#InChI=1S/C16H12O5/c1-20-10-3-5-11(14(18)7-10)13-8-21-15-6-9(17)2-4-12(15)16(13)19/h2-8,17-18H,1H3	InChI=1S/C16H12O4/c1-19-12-5-2-10(3-6-12)14-9-20-15-8-11(17)4-7-13(15)16(14)18/h2-9,17H,1H3
1.14.14.90	Medicago truncatula	Q6WNR0	14617078	wildtype CYP81E7	5.1E-5	25.0	8.0	Biochanin A;NADPH;O2;H+	H2O;NADP+;2'-Hydroxybiochanin A	InChI=1S/C16H12O5/c1-20-11-4-2-9(3-5-11)12-8-21-14-7-10(17)6-13(18)15(14)16(12)19/h2-8,17-18H,1H3#InChI=1S/C21H30N7O17P3/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(44-46(33,34)35)14(30)11(43-21)6-41-48(38,39)45-47(36,37)40-5-10-13(29)15(31)20(42-10)27-3-1-2-9(4-27)18(23)32/h1,3-4,7-8,10-11,13-16,20-21,29-31H,2,5-6H2,(H2,23,32)(H,36,37)(H,38,39)(H2,22,24,25)(H2,33,34,35)/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1#InChI=1S/O#InChI=1S/p+1	InChI=1S/H2O/h1H2#InChI=1S/C21H28N7O17P3/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(44-46(33,34)35)14(30)11(43-21)6-41-48(38,39)45-47(36,37)40-5-10-13(29)15(31)20(42-10)27-3-1-2-9(4-27)18(23)32/h1-4,7-8,10-11,13-16,20-21,29-31H,5-6H2,(H7-,22,23,24,25,32,33,34,35,36,37,38,39)/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1#InChI=1/C16H12O6/c1-21-9-2-3-10(12(18)6-9)11-7-22-14-5-8(17)4-13(19)15(14)16(11)20/h2-7,17-19H,1H3	InChI=1S/C16H12O5/c1-20-11-4-2-9(3-5-11)12-8-21-14-7-10(17)6-13(18)15(14)16(12)19/h2-8,17-18H,1H3
1.14.14.90	Medicago truncatula	Q6WNR0	14617078	wildtype CYP81E7	1.7E-7	25.0	8.0	NADPH;H+;Formononetin;O2	2'-Hydroxyformononetin;NADP+;H2O	InChI=1S/C21H30N7O17P3/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(44-46(33,34)35)14(30)11(43-21)6-41-48(38,39)45-47(36,37)40-5-10-13(29)15(31)20(42-10)27-3-1-2-9(4-27)18(23)32/h1,3-4,7-8,10-11,13-16,20-21,29-31H,2,5-6H2,(H2,23,32)(H,36,37)(H,38,39)(H2,22,24,25)(H2,33,34,35)/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1#InChI=1S/p+1#InChI=1S/C16H12O4/c1-19-12-5-2-10(3-6-12)14-9-20-15-8-11(17)4-7-13(15)16(14)18/h2-9,17H,1H3#InChI=1S/O	InChI=1S/C16H12O5/c1-20-10-3-5-11(14(18)7-10)13-8-21-15-6-9(17)2-4-12(15)16(13)19/h2-8,17-18H,1H3#InChI=1S/C21H28N7O17P3/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(44-46(33,34)35)14(30)11(43-21)6-41-48(38,39)45-47(36,37)40-5-10-13(29)15(31)20(42-10)27-3-1-2-9(4-27)18(23)32/h1-4,7-8,10-11,13-16,20-21,29-31H,5-6H2,(H7-,22,23,24,25,32,33,34,35,36,37,38,39)/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1#InChI=1S/H2O/h1H2	InChI=1S/C21H30N7O17P3/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(44-46(33,34)35)14(30)11(43-21)6-41-48(38,39)45-47(36,37)40-5-10-13(29)15(31)20(42-10)27-3-1-2-9(4-27)18(23)32/h1,3-4,7-8,10-11,13-16,20-21,29-31H,2,5-6H2,(H2,23,32)(H,36,37)(H,38,39)(H2,22,24,25)(H2,33,34,35)/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1
1.14.14.91	Arabidopsis thaliana	P92994	17141284	wildtype CYP73A5	5.0E-7	30.0	-	trans-Cinnamate;H+;O2;NADPH	4-Coumarate;NADP+;H2O	InChI=1S/C9H8O2/c10-9(11)7-6-8-4-2-1-3-5-8/h1-7H,(H,10,11)/b7-6+#InChI=1S/p+1#InChI=1S/O#InChI=1S/C21H30N7O17P3/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(44-46(33,34)35)14(30)11(43-21)6-41-48(38,39)45-47(36,37)40-5-10-13(29)15(31)20(42-10)27-3-1-2-9(4-27)18(23)32/h1,3-4,7-8,10-11,13-16,20-21,29-31H,2,5-6H2,(H2,23,32)(H,36,37)(H,38,39)(H2,22,24,25)(H2,33,34,35)/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1	InChI=1S/C9H8O3/c10-8-4-1-7(2-5-8)3-6-9(11)12/h1-6,10H,(H,11,12)/p-1#InChI=1S/C21H28N7O17P3/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(44-46(33,34)35)14(30)11(43-21)6-41-48(38,39)45-47(36,37)40-5-10-13(29)15(31)20(42-10)27-3-1-2-9(4-27)18(23)32/h1-4,7-8,10-11,13-16,20-21,29-31H,5-6H2,(H7-,22,23,24,25,32,33,34,35,36,37,38,39)/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1#InChI=1S/H2O/h1H2	InChI=1S/C9H8O2/c10-9(11)7-6-8-4-2-1-3-5-8/h1-7H,(H,10,11)/b7-6+
1.14.14.91	Arabidopsis thaliana	P92994	17141284	wildtype CYP73A5	2.3E-6	30.0	-	O2;2-Fluoro-trans-cinnamate;NADPH;H+	2-Fluoro-4-hydroxycinnamate;NADP+;H2O	InChI=1S/O#InChI=1S/C9H7FO2/c10-8-4-2-1-3-7(8)5-6-9(11)12/h1-6H,(H,11,12)/b6-5+#InChI=1S/C21H30N7O17P3/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(44-46(33,34)35)14(30)11(43-21)6-41-48(38,39)45-47(36,37)40-5-10-13(29)15(31)20(42-10)27-3-1-2-9(4-27)18(23)32/h1,3-4,7-8,10-11,13-16,20-21,29-31H,2,5-6H2,(H2,23,32)(H,36,37)(H,38,39)(H2,22,24,25)(H2,33,34,35)/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1#InChI=1S/p+1	InChI=1S/C9H7FO3/c10-8-5-7(11)3-1-6(8)2-4-9(12)13/h1-5,11H,(H,12,13)/b4-2+#InChI=1S/C21H28N7O17P3/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(44-46(33,34)35)14(30)11(43-21)6-41-48(38,39)45-47(36,37)40-5-10-13(29)15(31)20(42-10)27-3-1-2-9(4-27)18(23)32/h1-4,7-8,10-11,13-16,20-21,29-31H,5-6H2,(H7-,22,23,24,25,32,33,34,35,36,37,38,39)/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1#InChI=1S/H2O/h1H2	InChI=1S/C9H7FO2/c10-8-4-2-1-3-7(8)5-6-9(11)12/h1-6H,(H,11,12)/b6-5+
